panel	line	entry	canonical_attempt	note
retina_disease.txt	529	MRMV4	MRMV4	not_current_hgnc_after_official_aliases
retina_disease.txt	530	MRP6	MRP6	not_current_hgnc_after_official_aliases
retina_disease.txt	531	MRST	MRST	not_current_hgnc_after_official_aliases
retina_disease.txt	532	MSA1	MSA1	not_current_hgnc_after_official_aliases
retina_disease.txt	545	MVID2	MVID2	not_current_hgnc_after_official_aliases
retina_disease.txt	548	MZSDS	MZSDS	not_current_hgnc_after_official_aliases
retina_disease.txt	550	NARP	NARP	not_current_hgnc_after_official_aliases
retina_disease.txt	553	NCMD	NCMD	not_current_hgnc_after_official_aliases
retina_disease.txt	554	NCRNA	NCRNA	not_current_hgnc_after_official_aliases
retina_disease.txt	579	NPHS9	NPHS9	not_current_hgnc_after_official_aliases
retina_disease.txt	589	OMCS	OMCS	not_current_hgnc_after_official_aliases
retina_disease.txt	590	ONCR	ONCR	not_current_hgnc_after_official_aliases
retina_disease.txt	592	OPA10	OPA10	not_current_hgnc_after_official_aliases
retina_disease.txt	593	OPA2	OPA2	not_current_hgnc_after_official_aliases
retina_disease.txt	595	OPA4	OPA4	not_current_hgnc_after_official_aliases
retina_disease.txt	596	OPA5	OPA5	not_current_hgnc_after_official_aliases
retina_disease.txt	597	OPA6	OPA6	not_current_hgnc_after_official_aliases
retina_disease.txt	599	OPA8	OPA8	not_current_hgnc_after_official_aliases
retina_disease.txt	600	OPA9	OPA9	not_current_hgnc_after_official_aliases
retina_disease.txt	607	OPSIN-LCR	OPSIN-LCR	not_current_hgnc_after_official_aliases
retina_disease.txt	609	ORP1	ORP1	not_current_hgnc_after_official_aliases
retina_disease.txt	611	P53BP3	P53BP3	not_current_hgnc_after_official_aliases
retina_disease.txt	616	PAP1	PAP1	not_current_hgnc_after_official_aliases
retina_disease.txt	620	PBCRA1	PBCRA1	not_current_hgnc_after_official_aliases
retina_disease.txt	639	PGN	PGN	not_current_hgnc_after_official_aliases
retina_disease.txt	641	PHARC	PHARC	not_current_hgnc_after_official_aliases
retina_disease.txt	642	PHPVAR	PHPVAR	not_current_hgnc_after_official_aliases
retina_disease.txt	651	PNR	PNR	not_current_hgnc_after_official_aliases
retina_disease.txt	660	PRD	PRD	not_current_hgnc_after_official_aliases
retina_disease.txt	677	PTBHS	PTBHS	not_current_hgnc_after_official_aliases
retina_disease.txt	685	QRX	QRX	not_current_hgnc_after_official_aliases
retina_disease.txt	695	RCD3	RCD3	not_current_hgnc_after_official_aliases
retina_disease.txt	696	RCD3A	RCD3A	not_current_hgnc_after_official_aliases
retina_disease.txt	697	RCD3B	RCD3B	not_current_hgnc_after_official_aliases
retina_disease.txt	698	RCD4	RCD4	not_current_hgnc_after_official_aliases
