alias	existing_or_reason	candidate_target	source
AUTL1	ATG4C	ATG4B	hgnc_alias_symbol
AVP	current_symbol	NLRP3	hgnc_alias_symbol
AZ1	multiple_targets	CEP131|OAZ1	hgnc_alias_symbol
B1	multiple_targets	BBS9|MS4A1	hgnc_alias_symbol
B12	multiple_targets	NDUFB3|TNFAIP1	hgnc_alias_symbol
B17	multiple_targets	DONSON|NDUFB6	hgnc_alias_symbol
B18	multiple_targets	EVA1C|NDUFB7	hgnc_alias_symbol
B29	multiple_targets	CD79B|MRO	hgnc_alias_symbol
B37	multiple_targets	ATN1|EPCIP	hgnc_alias_symbol
B3GN-T1	multiple_targets	B3GNT2|B4GAT1	hgnc_alias_symbol
B3GNT1	multiple_targets	B3GNT2|B4GAT1	hgnc_prev_symbol
B3GNT6	current_symbol	B4GAT1	hgnc_prev_symbol
B3GNT8	current_symbol	QTGAL	hgnc_alias_symbol
B7-H5	multiple_targets	HHLA2|VSIR	hgnc_alias_symbol
B9	multiple_targets	B9D1|NDUFA3	hgnc_alias_symbol
bA548K23.1	multiple_targets	AGAP13P|C10orf62	hgnc_alias_symbol
BACH1	current_symbol	BRIP1	hgnc_alias_symbol
BAF190	multiple_targets	SMARCA2|SMARCA4	hgnc_alias_symbol
BAP1	current_symbol	MAGI1|RNF2	hgnc_alias_symbol
BAR	multiple_targets	ADRB2|BFAR	hgnc_alias_symbol
BART	multiple_targets	ARL2BP|BSND	hgnc_alias_symbol
BAT1	DDX39B	SLC7A9	hgnc_alias_symbol
BB1	multiple_targets	MBOAT7|NMBR	hgnc_alias_symbol
BB2	multiple_targets	GRPR|ICAM1	hgnc_alias_symbol
BBP	multiple_targets	SF1|TM2D1	hgnc_alias_symbol
BCAM	current_symbol	BCAT2	hgnc_alias_symbol
BCAP	multiple_targets	PHF11|PIK3AP1	hgnc_alias_symbol
BCD1	KLF6	ZNHIT6	hgnc_alias_symbol
BCD541	multiple_targets	SMN1|SMN2	hgnc_alias_symbol
BCRP1	current_symbol	BANF1P1	hgnc_alias_symbol
BCRP2	current_symbol	DCAF5	hgnc_alias_symbol
BDP	multiple_targets	ARID3B|PPM1K	hgnc_alias_symbol
BDP1	current_symbol	PTPN18	hgnc_alias_symbol
BEC1	multiple_targets	CLDN5|KCNH3	hgnc_alias_symbol
BEDP	multiple_targets	APOBEC1|DUSP13A	hgnc_alias_symbol
BFNC	multiple_targets	CHRNA4|KCNQ2	hgnc_alias_symbol
BGP	CEACAM1	BGLAP	hgnc_alias_symbol
BMD	multiple_targets	BEST1|DMD	hgnc_alias_symbol
BNC1	current_symbol	ASIC2	hgnc_alias_symbol
BOP	multiple_targets	OPN1SW|RTL10|SMYD1	hgnc_alias_symbol
BOR	EYA1	CDCA8	hgnc_alias_symbol
BRAP	current_symbol	C6orf89	hgnc_alias_symbol
BRCC1	multiple_targets	BRCA1|ICE2	hgnc_alias_symbol
BRCC2	multiple_targets	BLID|BRCA2	hgnc_alias_symbol
BRCC3	current_symbol	DEPDC1B	hgnc_alias_symbol
BRF1	current_symbol	ZFP36L1	hgnc_prev_symbol
BRF2	current_symbol	ZFP36L2	hgnc_prev_symbol
BRI3	current_symbol	ITM2C	hgnc_alias_symbol
BRMS1	current_symbol	BRMS1L	hgnc_prev_symbol
BRWD2	WDR11	PHIP	hgnc_alias_symbol
BRX	multiple_targets	AKAP13|CHIC1	hgnc_alias_symbol
