SNV/indel,CNV,STR,Mitochondria
MYOT,MYOT,,
MYPN,MYPN,,
NAGLU,NAGLU,,
NALCN,NALCN,,
NARS1,NARS1,,
NARS2,NARS2,,
NDRG1,NDRG1,,
NDUFA11,NDUFA11,,
NDUFAF1,NDUFAF1,,
NDUFAF4,NDUFAF4,,
NDUFB3,NDUFB3,,
NDUFS1,NDUFS1,,
NDUFS2,NDUFS2,,
NDUFS3,NDUFS3,,
NDUFS4,NDUFS4,,
NDUFS7,NDUFS7,,
NDUFS8,NDUFS8,,
NDUFV1,NDUFV1,,
NEB,NEB,,
NEFH,NEFH,,
NEFL,NEFL,,
NEK1,NEK1,,
NEXN,NEXN,,
NGF,NGF,,
NMNAT2,NMNAT2,,
NODAL,NODAL,,
NOTCH2NLC,NOTCH2NLC,,
NSUN3,NSUN3,,
NTRK1,NTRK1,,
NUBPL,NUBPL,,
NUP88,NUP88,,
NUTM2B-AS1,NUTM2B-AS1,,
OPA1,OPA1,,
OPTN,OPTN,,
ORAI1,ORAI1,,
OXA1L,OXA1L,,
PABPN1,PABPN1,,
PACSIN3,PACSIN3,,
PANK2,PANK2,,
PAX7,PAX7,,
PDE11A,PDE11A,,
PDE8B,PDE8B,,
PDHA1,PDHA1,,
PDK3,PDK3,,
PFKL,PFKL,,
PFKM,PFKM,,
PFKP,PFKP,,
PFN1,PFN1,,
PGAM2,PGAM2,,
PGK1,PGK1,,
PGM1,PGM1,,
PHKA1,PHKA1,,
PHKA2,PHKA2,,
PHKB,PHKB,,
PHKG2,PHKG2,,
PHOX2A,PHOX2A,,
PIEZO2,PIEZO2,,
PIGG,PIGG,,
PKNOX1,PKNOX1,,
PLEC,PLEC,,
PLEKHG5,PLEKHG5,,
PLIN4,PLIN4,,
PLN,PLN,,
PLOD1,PLOD1,,
PMP2,PMP2,,
PMP22,PMP22,,
PNKP,PNKP,,
PNPLA2,PNPLA2,,
PNPLA8,PNPLA8,,
POGLUT1,POGLUT1,,
POLG,POLG,,
POLG2,POLG2,,
POLR3B,POLR3B,,
POMGNT1,POMGNT1,,
POMGNT2,POMGNT2,,
POMK,POMK,,
POMT1,POMT1,,
POMT2,POMT2,,
POPDC1,POPDC1,,
POPDC3,POPDC3,,
PPARG,PPARG,,
PPCS,PPCS,,
PRDM12,PRDM12,,
PRDM16,PRDM16,,
PREPL,PREPL,,
PRKACA,PRKACA,,
PRKAG2,PRKAG2,,
PRKAR1A,PRKAR1A,,
PRPH,PRPH,,
PRPS1,PRPS1,,
PRUNE1,PRUNE1,,
PRX,PRX,,
PSAT1,PSAT1,,
PSEN1,PSEN1,,
PSEN2,PSEN2,,
PTCH1,PTCH1,,
PTEN,PTEN,,
PTPN11,PTPN11,,
PTRH2,PTRH2,,
PURA,PURA,,
PUS1,PUS1,,
PYGL,PYGL,,
PYGM,PYGM,,
PYROXD1,PYROXD1,,
RAB7,RAB7,,
RAF1,RAF1,,
RAPSN,RAPSN,,
RBCK1,RBCK1,,
