SNV/indel,CNV,STR,Mitochondria
FA2H,FA2H,,
FAM126A,FAM126A,,
FARS2,FARS2,,
FBXL4,FBXL4,,
FDFT1,FDFT1,,
FDX1L,FDX1L,,
FDX2,FDX2,,
FH,FH,,
FKRP,FKRP,,
FOLR1,FOLR1,,
FOXRED1,FOXRED1,,
FUCA1,FUCA1,,
GALC,GALC,,
GALT,GALT,,
GAN,GAN,,
GBE1,GBE1,,
GCDH,GCDH,,
GFAP,GFAP,,
GFM1,GFM1,,
GJA1,GJA1,,
GJB1,GJB1,,
GJC2,GJC2,,
GLA,GLA,,
GLB1,GLB1,,
HEPACAM,HEPACAM,,
HEXA,HEXA,,
HIBCH,HIBCH,,
HIKESHI,HIKESHI,,
HMGCL,HMGCL,,
HSD17B4,HSD17B4,,
HSPD1,HSPD1,,
HTRA1,HTRA1,,
HYCC1,HYCC1,,
IBA57,IBA57,,
IDH2,IDH2,,
IDS,IDS,,
IFIH1,IFIH1,,
ISCA2,ISCA2,,
JAM3,JAM3,,
KARS1,KARS1,,
KCNT1,KCNT1,,
L2HGDH,L2HGDH,,
LAMA2,LAMA2,,
LMNB1,LMNB1,,
LRPPRC,LRPPRC,,
LYRM7,LYRM7,,
MARS2,MARS2,,
MCOLN1,MCOLN1,,
MLC1,MLC1,,
MLYCD,MLYCD,,
MOCS1,MOCS1,,
MRPL44,MRPL44,,
MRPS22,MRPS22,,
MTFMT,MTFMT,,
MTHFR,MTHFR,,
MTHFS,MTHFS,,
MTTP,MTTP,,
MYRF,MYRF,,
NAXD,NAXD,,
NAXE,NAXE,,
NDUFA1,NDUFA1,,
NDUFA10,NDUFA10,,
NDUFA12,NDUFA12,,
NDUFA2,NDUFA2,,
NDUFA9,NDUFA9,,
NDUFAF2,NDUFAF2,,
NDUFAF4,NDUFAF4,,
NDUFAF5,NDUFAF5,,
NDUFAF6,NDUFAF6,,
NDUFB8,NDUFB8,,
NDUFS1,NDUFS1,,
NDUFS2,NDUFS2,,
NDUFS3,NDUFS3,,
NDUFS4,NDUFS4,,
NDUFS7,NDUFS7,,
NDUFS8,NDUFS8,,
NDUFV1,NDUFV1,,
NFU1,NFU1,,
NKX6-2,NKX6-2,,
NOTCH3,NOTCH3,,
NPC1,NPC1,,
NPC2,NPC2,,
NT5C2,NT5C2,,
NUBPL,NUBPL,,
OCLN,OCLN,,
OCRL,OCRL,,
OSGEP,OSGEP,,
OTC,OTC,,
PAH,PAH,,
PC,PC,,
PDHA1,PDHA1,,
PEX1,PEX1,,
PEX10,PEX10,,
PEX11B,PEX11B,,
PEX12,PEX12,,
PEX13,PEX13,,
PEX14,PEX14,,
PEX16,PEX16,,
PEX19,PEX19,,
PEX2,PEX2,,
PEX26,PEX26,,
PEX3,PEX3,,
PEX5,PEX5,,
PEX6,PEX6,,
PLAA,PLAA,,
PLEKHG2,PLEKHG2,,
PLP1,PLP1,,
POLG,POLG,,
POLR1A,POLR1A,,
POLR1C,POLR1C,,
POLR3A,POLR3A,,
POLR3B,POLR3B,,
POLR3K,POLR3K,,
PPT1,PPT1,,
PRPS1,PRPS1,,
PSAP,PSAP,,
PTEN,PTEN,,
PYCR2,PYCR2,,
RARS,RARS,,
RARS1,RARS1,,
REEP1,REEP1,,
RNASEH2A,RNASEH2A,,
RNASEH2B,RNASEH2B,,
RNASEH2C,RNASEH2C,,
RNASET2,RNASET2,,
RNF216,RNF216,,
RNF220,RNF220,,
RRM2B,RRM2B,,
SAMHD1,SAMHD1,,
SCO1,SCO1,,
SCP2,SCP2,,
SDHA,SDHA,,
SDHAF1,SDHAF1,,
SDHB,SDHB,,
SERAC1,SERAC1,,
SLC16A2,SLC16A2,,
SLC17A5,SLC17A5,,
SLC19A3,SLC19A3,,
SLC1A4,SLC1A4,,
SLC25A1,SLC25A1,,
SLC25A12,SLC25A12,,
SLC25A4,SLC25A4,,
SLC6A9,SLC6A9,,
SNORD118,SNORD118,,
SOX10,SOX10,,
SPART,SPART,,
SPG11,SPG11,,
SPG7,SPG7,,
STN1,STN1,,
STXBP1,STXBP1,,
SUCLA2,SUCLA2,,
SUMF1,SUMF1,,
SURF1,SURF1,,
TMEM106B,TMEM106B,,
TMEM63A,TMEM63A,,
TREM2,TREM2,,
TREX1,TREX1,,
TTC19,TTC19,,
TUBB4A,TUBB4A,,
TUFM,TUFM,,
TWNK,TWNK,,
TYMP,TYMP,,
TYROBP,TYROBP,,
UFM1,UFM1,,
UPB1,UPB1,,
VPS11,VPS11,,
WARS2,WARS2,,
YY1,YY1,,
ZFYVE26,ZFYVE26,,
NOTCH2NLC,NOTCH2NLC,,
