SNV/indel,CNV,STR,Mitochondria
DHX30,DHX30,,
DIAPH1,DIAPH1,,
DLAT,DLAT,,
DLD,DLD,,
DLL1,DLL1,,
DMXL2,DMXL2,,
DNA2,DNA2,,
DNAJC12,DNAJC12,,
DNAJC19,DNAJC19,,
DNAJC5,DNAJC5,,
DNAJC6,DNAJC6,,
DNM1,DNM1,,
DNM1L,DNM1L,,
DNM2,DNM2,,
DOCK7,DOCK7,,
DOLK,DOLK,,
DPAGT1,DPAGT1,,
DPH5,DPH5,,
DPM1,DPM1,,
DPM2,DPM2,,
DPM3,DPM3,,
DPYD,DPYD,,
DPYS,DPYS,,
DROSHA,DROSHA,,
DTYMK,DTYMK,,
DYM,DYM,,
DYNC1H1,DYNC1H1,,
DYRK1A,DYRK1A,,
EARS2,EARS2,,
EBP,EBP,,
ECHS1,ECHS1,,
EDEM3,EDEM3,,
EEF1A2,EEF1A2,,
EEFSEC,EEFSEC,,
EFTUD2,EFTUD2,,
EHBP1L1,EHBP1L1,,
EHMT1,EHMT1,,
EIF2B1,EIF2B1,,
EIF2B2,EIF2B2,,
EIF2B3,EIF2B3,,
EIF2B4,EIF2B4,,
EIF2B5,EIF2B5,,
EIF2S3,EIF2S3,,
EIF3F,EIF3F,,
EIF4A2,EIF4A2,,
ELAC2,ELAC2,,
ELFN1,ELFN1,,
EMC10,EMC10,,
EML1,EML1,,
ENO3,ENO3,,
ENTPD1,ENTPD1,,
EOGT,EOGT,,
EPB41L3,EPB41L3,,
EPG5,EPG5,,
EPM2A,EPM2A,,
ESAM,ESAM,,
ETFA,ETFA,,
ETFB,ETFB,,
ETFDH,ETFDH,,
ETHE1,ETHE1,,
EXOSC3,EXOSC3,,
EXT1,EXT1,,
EXT2,EXT2,,
FA2H,FA2H,,
FAH,FAH,,
FAR1,FAR1,,
FARS2,FARS2,,
FASTKD2,FASTKD2,,
FBP1,FBP1,,
FBXL4,FBXL4,,
FBXO11,FBXO11,,
FBXO28,FBXO28,,
FDX2,FDX2,,
FDXR,FDXR,,
FECH,FECH,,
FGF12,FGF12,,
FGF13,FGF13,,
FGFR2,FGFR2,,
FGFR3,FGFR3,,
FH,FH,,
FKRP,FKRP,,
FKTN,FKTN,,
FLAD1,FLAD1,,
FLNA,FLNA,,
FLVCR1,FLVCR1,,
FMO3,FMO3,,
FOLR1,FOLR1,,
FOXG1,FOXG1,,
FOXRED1,FOXRED1,,
FRMD5,FRMD5,,
FRRS1L,FRRS1L,,
FTCD,FTCD,,
FUCA1,FUCA1,,
FUK,FUK,,
FUT8,FUT8,,
FXN,FXN,,
FZR1,FZR1,,
G6PC,G6PC,,
G6PC3,G6PC3,,
GAA,GAA,,
GABBR2,GABBR2,,
GABRA1,GABRA1,,
GABRA2,GABRA2,,
GABRA5,GABRA5,,
GABRB1,GABRB1,,
GABRB2,GABRB2,,
GABRB3,GABRB3,,
GABRD,GABRD,,
GABRG2,GABRG2,,
GAD1,GAD1,,
GALC,GALC,,
GALE,GALE,,
GALK1,GALK1,,
GALM,GALM,,
GALNS,GALNS,,
GALNT2,GALNT2,,
GALNT3,GALNT3,,
GALT,GALT,,
GAMT,GAMT,,
GARS,GARS,,
GATM,GATM,,
GBA,GBA,,
GBE1,GBE1,,
GCDH,GCDH,,
GCH1,GCH1,,
GCLC,GCLC,,
GCSH,GCSH,,
GDAP1,GDAP1,,
GFAP,GFAP,,
GFER,GFER,,
GFM1,GFM1,,
GFM2,GFM2,,
GFPT1,GFPT1,,
GIF,GIF,,
GK,GK,,
GLA,GLA,,
GLB1,GLB1,,
GLDC,GLDC,,
GLRA1,GLRA1,,
GLRA2,GLRA2,,
GLRX5,GLRX5,,
GLS,GLS,,
GLUD1,GLUD1,,
GLUL,GLUL,,
GLYCTK,GLYCTK,,
GM2A,GM2A,,
GMPPA,GMPPA,,
GMPPB,GMPPB,,
GNAO1,GNAO1,,
GNAQ,GNAQ,,
GNB1,GNB1,,
GNB5,GNB5,,
GNE,GNE,,
GNMT,GNMT,,
GNPAT,GNPAT,,
GNPTAB,GNPTAB,,
GNPTG,GNPTG,,
GNS,GNS,,
GORAB,GORAB,,
GOSR2,GOSR2,,
GOT2,GOT2,,
GPAA1,GPAA1,,
GPD1,GPD1,,
GPHN,GPHN,,
GPIHBP1,GPIHBP1,,
GRHPR,GRHPR,,
GRIA2,GRIA2,,
GRIA4,GRIA4,,
GRIK2,GRIK2,,
GRIN1,GRIN1,,
GRIN2A,GRIN2A,,
GRIN2B,GRIN2B,,
GRIN2D,GRIN2D,,
GRM7,GRM7,,
GRN,GRN,,
GSS,GSS,,
GSTZ1,GSTZ1,,
GTF3C3,GTF3C3,,
GTPBP2,GTPBP2,,
GTPBP3,GTPBP3,,
GUK1,GUK1,,
GUSB,GUSB,,
GYG1,GYG1,,
GYS1,GYS1,,
GYS2,GYS2,,
H3F3A,H3F3A,,
H3F3B,H3F3B,,
HAAO,HAAO,,
HACE1,HACE1,,
HADH,HADH,,
HADHA,HADHA,,
HADHB,HADHB,,
HAMP,HAMP,,
HARS2,HARS2,,
