SNV/indel,CNV,STR,Mitochondria
CELSR2,CELSR2,,
CELSR3,CELSR3,,
CENPE,CENPE,,
CENPJ,CENPJ,,
CENPQ,CENPQ,,
CEP120,CEP120,,
CEP164,CEP164,,
CEP170,CEP170,,
CEP170B,CEP170B,,
CEP290,CEP290,,
CEP68,CEP68,,
CEP76,CEP76,,
CEP85L,CEP85L,,
CEP89,CEP89,,
CERS1,CERS1,,
CERT1,CERT1,,
CETP,CETP,,
CFAP69,CFAP69,,
CFAP91,CFAP91,,
CFH,CFH,,
CHADL,CHADL,,
CHAMP1,CHAMP1,,
CHCHD1,CHCHD1,,
CHCHD6,CHCHD6,,
CHD1,CHD1,,
CHD1L,CHD1L,,
CHD2,CHD2,,
CHD3,CHD3,,
CHD4,CHD4,,
CHD5,CHD5,,
CHD7,CHD7,,
CHD8,CHD8,,
CHGA,CHGA,,
CHKA,CHKA,,
CHKB,CHKB,,
CHL1,CHL1,,
CHMP4C,CHMP4C,,
CHN1,CHN1,,
CHRDL1,CHRDL1,,
CHRFAM7A,CHRFAM7A,,
CHRM1,CHRM1,,
CHRNA2,CHRNA2,,
CHRNA3,CHRNA3,,
CHRNA4,CHRNA4,,
CHRNA7,CHRNA7,,
CHRNB2,CHRNB2,,
CHRNB3,CHRNB3,,
CHST2,CHST2,,
CIC,CIC,,
CINP,CINP,,
CIT,CIT,,
CKAP2L,CKAP2L,,
CLCN1,CLCN1,,
CLCN2,CLCN2,,
CLCN3,CLCN3,,
CLCN4,CLCN4,,
CLCN6,CLCN6,,
CLCN7,CLCN7,,
CLDN11,CLDN11,,
CLDN16,CLDN16,,
CLDN23,CLDN23,,
CLIC2,CLIC2,,
CLIP1,CLIP1,,
CLN3,CLN3,,
CLN5,CLN5,,
CLN6,CLN6,,
CLN8,CLN8,,
CLOCK,CLOCK,,
CLP1,CLP1,,
CLPB,CLPB,,
CLPP,CLPP,,
CLRN3,CLRN3,,
CLSTN1,CLSTN1,,
CLTC,CLTC,,
CLTCL1,CLTCL1,,
CMYA5,CMYA5,,
CNBP,CNBP,,
CNIH3,CNIH3,,
CNIH4,CNIH4,,
CNKSR2,CNKSR2,,
CNNM2,CNNM2,,
CNNM3,CNNM3,,
CNNM4,CNNM4,,
CNOT1,CNOT1,,
CNOT2,CNOT2,,
CNOT3,CNOT3,,
CNP,CNP,,
CNPY2,CNPY2,,
CNPY3,CNPY3,,
CNTD1,CNTD1,,
CNTN1,CNTN1,,
CNTN2,CNTN2,,
CNTN5,CNTN5,,
CNTN6,CNTN6,,
CNTNAP1,CNTNAP1,,
CNTNAP2,CNTNAP2,,
COASY,COASY,,
COG2,COG2,,
COG4,COG4,,
COG5,COG5,,
COG6,COG6,,
COG7,COG7,,
COG8,COG8,,
COL10A1,COL10A1,,
COL11A2,COL11A2,,
