alias	hgnc_symbol	source
5-HT1D	HTR1D	hgnc_alias_symbol
5-HT1DB	HTR1B	hgnc_alias_symbol
5-HT1E	HTR1E	hgnc_alias_symbol
5-HT1F	HTR1F	hgnc_alias_symbol
5-HT2A	HTR2A	hgnc_alias_symbol
5-HT2B	HTR2B	hgnc_alias_symbol
5-HT2C	HTR2C	hgnc_alias_symbol
5-HT3A	HTR3A	hgnc_alias_symbol
5-HT3B	HTR3B	hgnc_alias_symbol
5-HT3C2	HTR3C2P	hgnc_alias_symbol
5-HT3R	HTR3A	hgnc_alias_symbol
5-HT4	HTR4	hgnc_alias_symbol
5-HT5A	HTR5A	hgnc_alias_symbol
5-HT5B	HTR5BP	hgnc_alias_symbol
5-HT6	HTR6	hgnc_alias_symbol
5-HT6R	HTR6	hgnc_alias_symbol
5-HT7	HTR7	hgnc_alias_symbol
5-HTT	SLC6A4	hgnc_alias_symbol
5-LOX	ALOX5	hgnc_alias_symbol
5-Opase	OPLAH	hgnc_alias_symbol
51A	SORL1-AS1	hgnc_alias_symbol
52	SCARNA10	hgnc_alias_symbol
53BP1	TP53BP1	hgnc_alias_symbol
53BP2	TP53BP2	hgnc_alias_symbol
54TM	YIF1A	hgnc_alias_symbol
59-DAP	SNTB1	hgnc_alias_symbol
59K	PDCD7	hgnc_alias_symbol
5HTR2C	HTR2C	hgnc_alias_symbol
5MP1	BZW2	hgnc_alias_symbol
5MP2	BZW1	hgnc_alias_symbol
5PTASE	INPP5A	hgnc_alias_symbol
5T4	TPBG	hgnc_alias_symbol
5T4-AG	TPBG	hgnc_alias_symbol
6-16	IFI6	hgnc_alias_symbol
6.3	PLXNA3	hgnc_alias_symbol
6.8PL	ATP5MJ	hgnc_alias_symbol
60H	HMGN2P12	hgnc_alias_symbol
64kD	LMOD1	hgnc_alias_symbol
6530404F10Rik	KCTD18	hgnc_alias_symbol
6530406P05Rik	GPR165P	hgnc_alias_symbol
66CTG	CDKN2B-AS1	hgnc_alias_symbol
6A3-5	ARID1B	hgnc_alias_symbol
6C6-Ag	BCAP31	hgnc_alias_symbol
6Ckine	CCL21	hgnc_alias_symbol
6PGL	PGLS	hgnc_alias_symbol
7-60	OGFR	hgnc_alias_symbol
71-7A	OFD1	hgnc_alias_symbol
71-7A2	OFD1P18Y	hgnc_alias_symbol
71-7A3	OFD1P17	hgnc_alias_symbol
71-7A5	OFD1P17	hgnc_alias_symbol
721P	AKAP17A	hgnc_alias_symbol
753P9	SASH3	hgnc_alias_symbol
76P	TUBGCP4	hgnc_alias_symbol
7A5	MACC1	hgnc_alias_symbol
7B2	SCG5	hgnc_alias_symbol
7B4	CDH5	hgnc_alias_symbol
7h3	SYDE1	hgnc_alias_symbol
7L1a	RN7SL1	hgnc_alias_symbol
7L23	RN7SL7P	hgnc_alias_symbol
7L28	RN7SL4P	hgnc_alias_symbol
7L30.1	RN7SL2	hgnc_alias_symbol
7L30.2	RN7SL3	hgnc_alias_symbol
7L63	RN7SL8P	hgnc_alias_symbol
7L7	RN7SL6P	hgnc_alias_symbol
7LEM1	RN7SL5P	hgnc_alias_symbol
7SK	RN7SK	hgnc_alias_symbol
7SL	RN7SL1	hgnc_alias_symbol
7SL1c	RN7SL2	hgnc_alias_symbol
80K-H	PRKCSH	hgnc_alias_symbol
80K-L	MARCKS	hgnc_alias_symbol
82-FIP	NUFIP2	hgnc_alias_symbol
821D11.7	SREBF2-AS1	hgnc_alias_symbol
8B	SYNE1	hgnc_alias_symbol
8D6	CD320	hgnc_alias_symbol
8D6A	CD320	hgnc_alias_symbol
8HS20	VPREB3	hgnc_alias_symbol
9-27	IFITM1	hgnc_alias_symbol
9-Sep	SEPTIN9	custom_panel_review_curated
90K	LGALS3BP	hgnc_alias_symbol
9630046K23Rik	POGLUT1	hgnc_alias_symbol
9F	FAM50A	hgnc_alias_symbol
A-152E5.1	CCL22	hgnc_alias_symbol
A-2	GPR162	hgnc_alias_symbol
A-761H5.2	CDC37P1	hgnc_alias_symbol
A-923A4.1	ACSM2A	hgnc_alias_symbol
A-C1	PLAAT1	hgnc_alias_symbol
A-FABP	FABP4	hgnc_alias_symbol
A-LAP	ERAP1	hgnc_alias_symbol
A-myb	MYBL1	hgnc_alias_symbol
A-Raf	ARAF	hgnc_alias_symbol
A-ROD	LNCAROD	hgnc_alias_symbol
A-SCID	DCLRE1C	hgnc_alias_symbol
a1	ATP6V0A1	hgnc_alias_symbol
A1-5	ZNF2	hgnc_alias_symbol
A10	IGKV6D-21	hgnc_alias_symbol
A12.2	POLR1H	hgnc_alias_symbol
A121	EIF1	hgnc_alias_symbol
A14GALT	A4GALT	hgnc_alias_symbol
A15	TSPAN7	hgnc_alias_symbol
A170	SQSTM1	hgnc_alias_symbol
A1A	SERPINA1	hgnc_alias_symbol
A1AG1	ORM1	hgnc_alias_symbol
A1AT	SERPINA1	hgnc_alias_symbol
A1B	SNTB1	hgnc_alias_symbol
A1BG-AS	A1BG-AS1	hgnc_prev_symbol
A1BGAS	A1BG-AS1	hgnc_prev_symbol
A1S9T	UBA1	hgnc_prev_symbol
A1U	UBQLN4	hgnc_alias_symbol
a2	ATP6V0A2	hgnc_alias_symbol
A211C6.1	LYRM1	hgnc_alias_symbol
A214N16.3	PRUNE2	hgnc_alias_symbol
A26	IGKV6-21	hgnc_alias_symbol
A26A1	POTEA	hgnc_prev_symbol
A26B1	POTEB	hgnc_prev_symbol
A26B2	POTEC	hgnc_prev_symbol
A26B3	POTED	hgnc_prev_symbol
A26C1	POTEE	hgnc_alias_symbol
A26C1A	POTEE	hgnc_prev_symbol
A26C1B	POTEF	hgnc_prev_symbol
A26C2	POTEG	hgnc_prev_symbol
A26C3	POTEH	hgnc_prev_symbol
A28-RGS14	RGS16	hgnc_alias_symbol
A2AP	SERPINF2	hgnc_alias_symbol
A2BP1	RBFOX1	hgnc_alias_symbol
A2D	ATXN2L	hgnc_alias_symbol
A2HS	AHSG	hgnc_alias_symbol
A2LD1	GGACT	hgnc_prev_symbol
A2lp	ATXN2L	hgnc_alias_symbol
A2MP1	PZP2P	hgnc_prev_symbol
A2MR	LRP1	hgnc_prev_symbol
A2MRAP	LRPAP1	hgnc_prev_symbol
a2V	ATP6V0A2	hgnc_alias_symbol
a3	TCIRG1	hgnc_alias_symbol
A30	IGKV1-17	hgnc_alias_symbol
A33	GPA33	hgnc_alias_symbol
A34.5	POLR1G	hgnc_alias_symbol
A3a	DAG1	hgnc_alias_symbol
A3AR	ADORA3	hgnc_alias_symbol
A3b	SGCB	hgnc_alias_symbol
A3GALT1	ABO	hgnc_alias_symbol
A3GALT2P	A3GALT2	hgnc_prev_symbol
a4	ATP6V0A4	hgnc_alias_symbol
A4-LSB	PLP2	hgnc_alias_symbol
A43	POLR1F	hgnc_alias_symbol
A6	TWF1	hgnc_alias_symbol
A6L	MT-ATP8	hgnc_alias_symbol
A6ps1	TWF1P1	hgnc_alias_symbol
A6ps2	TWF1P2	hgnc_alias_symbol
A6r	TWF2	hgnc_alias_symbol
A6RP	TWF2	hgnc_alias_symbol
a7nAChR	CHRNA7	hgnc_alias_symbol
A8-51	ZNF3	hgnc_alias_symbol
AA	TEAD1	hgnc_prev_symbol
AAA1	NPSR1-AS1	hgnc_alias_symbol
AAAT	SLC1A5	hgnc_alias_symbol
AAC-11	API5	hgnc_alias_symbol
AAC1	NAT1	hgnc_prev_symbol
AAC11	API5	hgnc_alias_symbol
AAC2	NAT2	hgnc_prev_symbol
AACP	NATP	hgnc_prev_symbol
AACSL	AACSP1	hgnc_prev_symbol
AACT	SERPINA3	hgnc_prev_symbol
AADACL1	NCEH1	hgnc_prev_symbol
AADC	DDC	hgnc_alias_symbol
AAED1	PRXL2C	hgnc_prev_symbol
AAF132	CTC1	hgnc_alias_symbol
AAG3	SRSF7	hgnc_alias_symbol
AAIR8193	APOOL	hgnc_alias_symbol
AAKG	PRKAG2	hgnc_alias_symbol
AAKG2	PRKAG2	hgnc_alias_symbol
AAP	SERPINF2	hgnc_alias_symbol
AAP1	RYBP	hgnc_alias_symbol
AARS	AARS1	custom_panel_review
AARSL	AARS2	hgnc_prev_symbol
AARSP1	AARS1P1	hgnc_prev_symbol
AASD-PPT	AASDHPPT	hgnc_alias_symbol
AAT	SERPINA1	hgnc_alias_symbol
AAT-1	CFAP91	hgnc_alias_symbol
AAT1	CFAP91	hgnc_alias_symbol
AAT1alpha	CFAP91	hgnc_alias_symbol
AATK-AS1	PVALEF	hgnc_prev_symbol
AATYK	AATK	hgnc_alias_symbol
AATYK1	AATK	hgnc_alias_symbol
AATYK2	LMTK2	hgnc_alias_symbol
AATYK3	LMTK3	hgnc_alias_symbol
AAV	AAVS1	hgnc_alias_symbol
AAVR	KIAA0319L	hgnc_alias_symbol
AB-DIP	QRICH1	hgnc_alias_symbol
AB014085.4	HCG19P	hgnc_alias_symbol
AB023048.2	HCG21	hgnc_alias_symbol
AB023051.1	HCG20	hgnc_alias_symbol
AB023060.6	POLR2LP1	hgnc_alias_symbol
AB073614	CP	hgnc_alias_symbol
ABAD	HSD17B10	hgnc_alias_symbol
ABBA	MTSS2	hgnc_alias_symbol
ABBA-1	MTSS2	hgnc_alias_symbol
ABBP1	HNRNPAB	hgnc_alias_symbol
ABC-C	ABCA3	hgnc_alias_symbol
ABC1	ABCA1	hgnc_prev_symbol
ABC16	ABCB11	hgnc_alias_symbol
ABC2	ABCA2	hgnc_prev_symbol
