gene_symbol	pheno_score
TRAIP	15.3846
ARID1A	15.3846
PTEN	15.3846
GPC3	15.3846
NEK1	15.3846
UBE3B	15.3846
SOS2	15.3846
GPC4	15.3846
STK4	15.3846
ZIC3	15.3846
NF1	15.3846
COL1A1	15.3846
SMARCB1	15.3846
SMARCC2	15.3846
MAP2K1	15.3846
EHMT1	15.3846
PAN2	15.3846
SYT1	15.3846
CHD3	15.3846
SOX11	15.3846
FEM1B	15.3846
FOCAD	15.3846
CUL3	15.3846
NCF1	15.3846
TASP1	15.3846
NSD1	15.3846
TALDO1	15.3846
H4C9	15.3846
PACS2	15.3846
SH2B1	15.3846
SMARCE1	15.3846
RNU5B-1	15.3846
WDR35	15.3846
SLC35A2	15.3846
RRAGC	15.3846
CEP57	15.3846
HNRNPH2	15.3846
ARID2	15.3846
TRAF7	15.3846
CEP295	15.3846
ASXL2	15.3846
APC2	15.3846
DOT1L	15.3846
PPP1R21	15.3846
H4C3	15.3846
INSR	15.3846
EEFSEC	15.3846
PGAP2	15.3846
UQCRC2	15.3846
ARSL	15.3846
OTUD6B	15.3846
AGO2	15.3846
PPP2CA	15.3846
GET3	15.3846
CARS1	15.3846
FRMD5	15.3846
ATP6V1E1	15.3846
SCUBE3	15.3846
SOX17	15.3846
COG7	15.3846
PGAP1	15.3846
NPHP3	15.3846
KANSL1	15.3846
CLCN3	15.3846
PEX2	15.3846
NKX2-1	15.3846
ZBTB7A	15.3846
TRIP13	15.3846
RRAS	15.3846
SLC25A24	15.3846
ALG9	15.3846
MRAS	15.3846
SMARCD1	15.3846
PEX19	15.3846
SETD5	15.3846
PTPN11	15.3846
MED23	15.3846
BUB1	15.3846
PIEZO1	15.3846
KAT8	15.3846
MLXIPL	15.3846
SOX4	15.3846
TBX2	15.3846
TGFBR2	15.3846
DOHH	15.3846
PPFIBP1	15.3846
ACADVL	15.3846
ABCD4	15.3846
IFT172	15.3846
CAPN15	15.3846
EIF3F	15.3846
FOXE3	15.3846
PCYT1A	15.3846
MIR204	15.3846
FIBP	15.3846
CRYAA	15.3846
VSX2	15.3846
POMGNT1	15.3846
POMGNT2	15.3846
GZF1	15.3846
HMX1	15.3846
RB1	15.3846
PORCN	15.3846
MITF	15.3846
ALDH1A3	15.3846
CRYBB2	15.3846
SALL2	15.3846
FZD5	15.3846
GDF6	15.3846
ABCB6	15.3846
CRYBA4	15.3846
TMEM138	15.3846
LRP2	15.3846
B4GAT1	15.3846
INTS1	15.3846
YAP1	15.3846
ATOH7	15.3846
ALX3	15.3846
TRIM37	15.3846
B3GALNT2	15.3846
DDX11	15.3846
MAB21L2	15.3846
RXYLT1	15.3846
RBP4	15.3846
FBXW11	15.3846
DAG1	15.3846
ELP4	15.3846
CENPF	15.3846
SOX2	15.3846
PXDN	15.3846
C12orf57	15.3846
MED13L	15.3846
ZRSR2	15.3846
NR6A1	15.3846
COL4A1	15.3846
PRR12	15.3846
ROR1	15.3846
GDF3	15.3846
SIX6	15.3846
CHN1	15.3846
HHAT	15.3846
CRYGC	15.3846
TENM3	15.3846
CRYBB1	15.3846
PNPLA6	15.3846
TRIM44	15.3846
ZNF423	15.3846
RAB18	15.3846
HMGB3	15.3846
PTCH2	15.3846
PAX6	15.3846
CRYGD	15.3846
CLDN19	15.3846
KIFBP	15.3846
TBR1	15.3846
EDNRA	15.3846
UQCRH	15.3846
LAS1L	15.3846
CHD5	15.3846
HECTD4	15.3846
RECQL	15.3846
CPAP	15.3846
GRIP1	15.3846
AGA	15.3846
PAM16	15.3846
FREM2	15.3846
SF3B2	15.3846
HOXA13	15.3846
PPP2R3C	15.3846
ZSCAN10	15.3846
MAPRE2	15.3846
RIPK4	15.3846
SIX5	15.3846
ABHD5	15.3846
MCM5	15.3846
HOXA2	15.3846
FOXI3	15.3846
SF3B4	15.3846
INTU	15.3846
MSX2	15.3846
PAK1	15.3846
RSPRY1	15.3846
CAMK2A	15.3846
SLC35C1	15.3846
TWIST2	15.3846
EYA1	15.3846
POC1A	15.3846
SIX1	15.3846
RPL17	15.3846
MAP1B	15.3846
TBX15	15.3846
NIN	15.3846
LBR	15.3846
MYH3	15.3846
SEMA3D	15.3846
CNTN1	15.3846
MKRN3	15.3846
EDN3	15.3846
BSND	15.3846
FBN1	15.3846
ALG14	15.3846
DYNC2I1	15.3846
TBCK	15.3846
ADAMTS3	15.3846
TTC7A	15.3846
SOD1	15.3846
SLC16A2	15.3846
ASCC1	15.3846
ENPP1	15.3846
NRCAM	15.3846
MYH11	15.3846
OTUD5	15.3846
DYNC2I2	15.3846
CFL2	15.3846
