SNV/indel,CNV,STR,Mitochondria
SH2B3,SH2B3,,
SH3PXD2A ,SH3PXD2A ,,
SHOC2,SHOC2,,
SLC19A2,SLC19A2,,
SLC22A4,SLC22A4,,
SLC22A5,SLC22A5,,
SLC22A7,SLC22A7,,
SLC25A11,SLC25A11,,
SLC2A10,SLC2A10,,
SLC44A2,SLC44A2,,
SLC5A3,SLC5A3,,
SLC6A11,SLC6A11,,
SMAD2,SMAD2,,
SMAD3,SMAD3,,
SMAD4,SMAD4,,
SMAD9,SMAD9,,
SMARCA4,SMARCA4,,
SMARCAL1,SMARCAL1,,
SMARCB1,SMARCB1,,
SMARCE1,SMARCE1,,
SMG6,SMG6,,
SMO,SMO,,
SNAP29,SNAP29,,
SNF8,SNF8,,
SNORD118,SNORD118,,
SON,SON,,
SORT1,SORT1,,
SOS1,SOS1,,
SOS2,SOS2,,
SPARC,SPARC,,
SPRED2,SPRED2,,
SRR,SRR,,
STAT1,STAT1,,
STAT2,STAT2,,
STIM1,STIM1,,
STING,STING,,
STK11,STK11,,
STX1A,STX1A,,
STYK1,STYK1,,
SUFU,SUFU,,
SURF1,SURF1,,
SVEP1,SVEP1,,
SWAP70,SWAP70,,
TANGO2,TANGO2,,
TBL2,TBL2,,
TBX20,TBX20,,
TBX3,TBX3,,
TCF21,TCF21,,
TEK,TEK,,
TENT5A,TENT5A,,
TERT,TERT,,
TET2,TET2,,
TFPI,TFPI,,
TGFB1,TGFB1,,
TGFB2,TGFB2,,
TGFB3,TGFB3,,
TGFBR1,TGFBR1,,
TGFBR2,TGFBR2,,
TGFBR3,TGFBR3,,
THBD,THBD,,
THPO,THPO,,
THSD1,THSD1,,
TLL1,TLL1,,
TM4SF1,TM4SF1,,
TM4SF4,TM4SF4,,
TMEM127,TMEM127,,
TMEM43,TMEM43,,
TMPRSS7,TMPRSS7,,
TNFRSF1A,TNFRSF1A,,
TNNI3,TNNI3,,
TNNT2,TNNT2,,
TNXB,TNXB,,
TP53,TP53,,
TP53INP1,TP53INP1,,
TPM1,TPM1,,
TPP2,TPP2,,
TRAF7,TRAF7,,
TREM2,TREM2,,
TREX1,TREX1,,
TRHDE,TRHDE,,
TRIB1,TRIB1,,
TRNC,TRNC,,
TRNF,TRNF,,
TRNH,TRNH,,
TRNK,TRNK,,
TRNL1,TRNL1,,
TRNQ,TRNQ,,
TRNS1,TRNS1,,
TRNS2,TRNS2,,
TRNV,TRNV,,
TRNW,TRNW,,
TSC1,TSC1,,
TSC2,TSC2,,
TSPAN2,TSPAN2,,
TTR,TTR,,
UBE2Z,UBE2Z,,
USP18,USP18,,
VAMP5,VAMP5,,
VAMP7,VAMP7,,
VAMP8,VAMP8,,
VHL,VHL,,
VPS52,VPS52,,
VWF,VWF,,
WDR12,WDR12,,
WFS1,WFS1,,
WNK4,WNK4,,
WNT2B,WNT2B,,
WT1,WT1,,
XYLT1,XYLT1,,
XYLT2,XYLT2,,
YAP1,YAP1,,
YY1AP1,YY1AP1,,
ZAP70,ZAP70,,
ZC3HC1,ZC3HC1,,
ZCCHC14,ZCCHC14,,
ZEB2,ZEB2,,
ZFHX3,ZFHX3,,
ZMPSTE24,ZMPSTE24,,
ZNF318,ZNF318,,
ZNF507,ZNF507,,
